                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.97247,                0.58714,                0.85637,                0.99684,                      1,                  0.995,                0.69591,                   1.07,                0.55306,                 0.8303,              0.0001211,              0.0001211,              0.0001211
                     92,                0.95129,                0.54435,                0.85849,                 0.9967,                0.99997,                  0.995,                0.69947,                 1.0689,                0.55929,                0.83062,              0.0001101,              0.0001101,              0.0001101
                     93,                0.94035,                 0.5434,                0.84881,                0.99634,                      1,                  0.995,                0.69889,                 1.0611,                0.56673,                0.82786,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.94763,                 0.5589,                0.86646,                 0.9967,                      1,                  0.995,                0.70259,                 1.0602,                0.57597,                0.82628,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.94112,                0.56449,                0.85094,                0.99687,                0.99981,                  0.995,                0.70256,                 1.0654,                 0.5839,                0.82613,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                0.94026,                0.56571,                0.85677,                0.99731,                0.99949,                  0.995,                0.70515,                 1.0748,                0.58409,                0.82767,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.92193,                0.54724,                0.83763,                0.99764,                0.99951,                  0.995,                0.70356,                 1.0774,                0.57911,                0.82802,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.93158,                0.55424,                0.86295,                0.99781,                0.99928,                  0.995,                0.70216,                 1.0782,                0.57313,                0.82798,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.93469,                0.55128,                0.85624,                0.99797,                0.99913,                  0.995,                 0.7026,                 1.0787,                0.56972,                0.82766,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                 0.9377,                0.55764,                0.84765,                0.99813,                0.99917,                  0.995,                0.70171,                 1.0745,                0.56407,                0.82638,             2.2109e-05,             2.2109e-05,             2.2109e-05
